node,land_usd_per_acre
238,481.3455328
239,7870.916589
240,2925.673613
241,1770.990862
242,3767.380943
243,14554.96336
244,2945.438463
245,23130.5792
246,3186.248698
247,1566.577564
248,1566.577564
249,5568.714925
250,1466.348916
251,4784.083832
252,5568.714925
253,5426.503176
254,1526.605108
255,1704.973525
256,5568.714925
257,5568.714925
258,6188.585189
259,1466.348916
260,1102.452579
261,1102.452579
262,6188.585189
263,5568.714925
264,5426.503176
265,2705.759321
266,5426.503176
267,1102.452579
268,5568.714925
269,2086.798896
270,4784.083832
271,5568.714925
272,5568.714925
273,1704.973525
274,5568.714925
275,5568.714925
276,5568.714925
277,5426.503176
278,5568.714925
279,1704.973525
280,1704.973525
281,5568.714925
282,5426.503176
283,2705.759321
284,5568.714925
285,6188.585189
286,4784.083832
287,5568.714925
288,4784.083832
289,1102.452579
290,1102.452579
291,5568.714925
292,5426.503176
293,5568.714925
294,1704.973525
295,5568.714925
296,5568.714925
297,3351.033629
298,1102.452579
299,4784.083832
300,1932.329003
301,1229.036974
302,1909.202994
303,2053.170987
304,2695.927789
305,4071.704026
306,3510.788217
307,5251.372659
308,3510.788217
309,3510.788217
310,3510.788217
311,3510.788217
312,3510.788217
313,3510.788217
314,3510.788217
315,3510.788217
316,2387.637496
317,2309.701794
318,3762.314835
319,1833.348774
320,2922.73707
321,10907.97547
322,1637.903483
323,2409.374448
324,8073.345915
325,2098.707833
326,2170.070307
327,6218.331176
328,250840.8551
329,9282.869097
330,1033.780501
331,19145.35294
332,631.7776596
333,20545.56845
334,6488.210807
335,2098.707833
336,6229.038578
337,6488.210807
338,1765.604569
339,2170.070307
340,2513.63841
341,15972.48608
342,1033.780501
343,658.2643238
344,6488.210807
345,5519.42235
346,6488.210807
347,1765.604569
348,1606.496248
349,1765.604569
350,15972.48608
351,13558.98277
352,20545.56845
353,1033.780501
354,731.9748961
355,2513.63841
356,11101.88881
357,913.296126
358,13373.5793
359,489.8518225
360,1036.917918
361,1574.025646
362,2873.18494
363,3277.914825
364,263.6358847
365,1920.77424
366,4057.520599
367,1794.635519
368,13429.26425
369,3079.800593
370,7158.634234
371,7667.783826
372,25217.24012
373,5392.439245
374,7773.092084
375,3510.788217
376,13429.26425
377,1307.953117
378,5524.298718
379,1311.306573
380,6639.338406
381,1657.234278
382,1419.938936
383,4805.575513
384,5524.298718
385,9987.160549
386,1091.275099
387,5392.439245
388,7413.706412
389,1508.565671
390,3510.788217
391,7413.706412
392,3510.788217
393,7579.824764
394,7579.824764
395,7579.824764
396,876.199197
397,7579.824764
398,2831.533644
399,2805.921147
400,3383.89306
401,2974.020068
402,418.614633
403,1549.731265
404,29376.02089
405,3079.686047
406,2724.290508
407,3010.262287
408,3510.788217
409,3383.338039
410,8814.857108
411,18671.09261
412,4995.483146
413,18240.82113
414,29376.02089
415,12047.09089
416,2102.345677
417,8884.170813
418,29702.376
419,2593.645043
420,1958.781404
421,8249.239773
422,4683.540333
423,10143.85499
424,4995.483146
425,3510.788217
426,29702.376
427,3510.788217
428,4683.540333
429,4186.85115
430,3510.788217
431,3478.653341
432,3510.788217
433,2339.032638
434,2583.213099
435,2102.345677
436,3079.686047
437,24094.7448
438,12047.09089
439,12047.09089
440,12047.09089
441,2593.645043
442,18240.82113
443,5393.560455
444,6821.247084
445,24094.7448
446,5280.560548
447,3510.788217
448,4186.85115
449,22302.53529
450,3010.262287
451,7824.268658
452,6416.18722
453,29752.30069
454,12047.09089
455,1958.781404
456,4995.483146
457,29376.02089
458,29376.02089
459,737137.1303
460,29752.30069
461,2593.645043
462,5280.560548
463,3510.788217
464,18240.82113
465,22302.53529
466,4252.0261
467,3079.686047
468,5393.560455
469,8814.857108
470,22302.53529
471,10143.85499
472,18240.82113
473,3079.686047
474,7962.185246
475,4186.85115
476,2000.68827
477,2593.645043
478,4683.540333
479,43734.88486
480,3079.686047
481,5280.560548
482,3510.788217
483,3510.788217
484,29702.376
485,3478.653341
486,3010.262287
487,22302.53529
488,4935.782202
489,5280.560548
