x,y,county_fips,county_name,state_fips,state_name,nerc_reg,trans_reg,trans_grp,reeds_state
-121.0868182,44.613822727272726,41031,Jefferson,41,Oregon,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR
-106.3123033,31.75501422222222,48141,El Paso,48,Texas,WECC_SRSG,WestConnect,WestConnect_South,TX
-123.3233569,42.77624543,41019,Douglas,41,Oregon,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR
-118.4185714,43.55137142857143,41025,Harney,41,Oregon,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR
-121.62275,41.203275,06093,Siskiyou,06,California,WECC_NWPP,NorthernGrid,NorthernGrid_South,CA
-121.956235,37.29320158594877,06085,Santa Clara,06,California,WECC_CA,CAISO,CAISO,CA
-121.4119583,38.62774270833334,06067,Sacramento,06,California,WECC_CA,CAISO,CAISO,CA
-122.2634242,40.61115757575758,06089,Shasta,06,California,WECC_CA,CAISO,CAISO,CA
-121.3376667,37.92392745098039,06077,San Joaquin,06,California,WECC_CA,CAISO,CAISO,CA
-121.7591719,36.584944573418106,06053,Monterey,06,California,WECC_CA,CAISO,CAISO,CA
-120.6561625,38.90123,06017,El Dorado,06,California,WECC_CA,CAISO,CAISO,CA
-122.4500192,37.78705364985562,06075,San Francisco,06,California,WECC_CA,CAISO,CAISO,CA
-122.0193014,38.11197123287671,06095,Solano,06,California,WECC_CA,CAISO,CAISO,CA
-123.8799339,39.23322793993962,,,,,WECC_CA,CAISO,CAISO,CA
-120.2214269,34.16441054442526,,,,,WECC_CA,CAISO,CAISO,CA
-119.7511538,36.783966666666664,06019,Fresno,06,California,WECC_CA,CAISO,CAISO,CA
-124.5998374,40.97775719388165,,,,,WECC_CA,CAISO,CAISO,CA
-122.0933158,37.66495921052632,06001,Alameda,06,California,WECC_CA,CAISO,CAISO,CA
-120.7153208,37.544881132075474,06099,Stanislaus,06,California,WECC_CA,CAISO,CAISO,CA
-121.5718,39.54290444444444,06007,Butte,06,California,WECC_CA,CAISO,CAISO,CA
-122.7852698,38.50263926,06097,Sonoma,06,California,WECC_CA,CAISO,CAISO,CA
-120.8062268,35.41219092935514,06079,San Luis Obispo,06,California,WECC_CA,CAISO,CAISO,CA
